Arrui	Becada	Conejo	Estornino	Jabali	Liebre	Perdiz	Torcaz	Tortola	Tortolaturca	Urraca	Zorro	Zorzal
0.001	0.018	0.025	0.018	0.006	0	0.04	0.021	0.005	0.002	0.002	0.007	1.908
0	0	0.064	0	0.001	0.002	0.254	0.007	0.01	0.001	0	0.001	0.002
0	0.004	0.041	0.007	0.005	0	0.04	0.054	0.001	0	0.006	0.005	0.782
0	0.049	0.232	0.006	0.022	0.01	0.441	0.748	0.031	0.002	0.002	0.012	0.292
0	0.001	0.409	0.026	0.008	0.001	0.185	0.05	0.015	0.031	0.009	0.004	0.119
0	0.001	0.274	0.075	0.001	0	0.463	0.197	0.085	0.086	0.022	0.006	0.139
0	0	0.209	0	0.011	0.001	0.055	0.199	0.093	0	0.021	0.009	0.116
0	0	0.247	0	0.005	0.009	0.182	0.01	0.011	0	0	0.017	0.011
0.001	0	0.046	0	0.01	0	0.051	0.013	0.004	0.005	0	0.002	0.053
0	0.01	0.223	0.01	0.005	0.003	0.076	0.142	0.054	0.031	0	0.008	0.379
0	0.001	0.201	0	0.005	0.005	0.196	0.086	0.145	0.15	0	0.005	0.086
0	0.002	0.159	0.004	0.009	0.003	0.108	0.065	0.12	0.017	0	0.016	0.029
0	0	0.008	0	0	0	0.059	0.024	0.001	0	0	0	0.096
0	0.009	0.274	0	0.003	0	0.128	0.051	0.03	0	0	0.01	0.008
0	0	0.105	0	0.015	0	0.068	0.033	0.001	0.005	0	0	0.017
0	0	0.218	0	0	0.005	0.057	0.032	0.008	0	0	0.001	0.004
0	0	0.303	0	0	0	0.208	0	0	0	0	0	0
0	0	0.036	0	0	0.003	0.045	0	0.004	0	0	0	0
0.006	0	0.004	0	0.003	0.001	0.067	0.005	0	0.001	0	0	0.012
