URBANO	PINARD	PINARCL	ENCINAR	INCEND	MATOARB	MATOD	MATOCL	RIPARI	FRATALS	VIÑS	LABORS	FRUTALR	VIÑR	HUERTA	ABANR	ABANA	CFORZAD
24	277	405	80	51	450	1324	1526	68	1218	4	31	94	2	39	257	479	0
2	121	107	0	0	139	83	85	19	3	3	0	0	4	1	22	40	0
7	192	404	6	0	428	833	805	28	169	0	31	169	1	0	159	433	0
0	0	37	92	0	69	20	197	0	0	0	0	0	0	0	15	29	0
24	156	182	0	0	141	397	619	119	216	32	2	72	13	3	139	217	0
24	91	414	9	56	192	287	510	57	757	34	25	540	12	8	301	482	0
2	0	49	0	1	6	127	20	3	2	3	7	71	0	0	11	3	0
61	286	446	0	0	368	360	434	81	304	9	15	90	5	17	270	361	2
18	475	526	1	2	266	332	607	77	685	17	45	83	0	13	376	742	0
36	190	220	16	0	123	412	432	52	39	2	1	270	25	24	95	139	88
23	227	266	0	0	153	234	248	44	80	8	15	204	45	36	82	87	10
57	69	215	0	0	163	26	33	62	38	2	0	174	60	194	142	82	10
0	29	32	0	0	29	15	37	2	37	0	0	0	0	0	7	27	0
18	95	67	9	0	60	40	298	9	11	6	5	33	2	2	32	69	5
5	1	36	0	0	35	60	114	10	69	11	2	125	23	0	79	20	0
45	10	83	0	0	49	285	175	12	19	3	0	19	2	5	93	91	0
12	0	160	0	0	29	71	62	0	0	0	0	0	0	0	3	2	0
4	0	167	0	0	12	80	35	0	0	0	0	0	0	0	1	4	0
2	50	12	3	0	36	72	188	13	65	0	20	0	0	0	34	73	0
