TA	NP	PD	TE	ED	LSI	AREA_MN	SHAPE_MN	FRAC_MN	PARA_MN	PAFRAC	TCA	NDCA	DCAD	CORE_MN	DCORE_MN	CAI_MN	CONTAG	IJI	DIVISION	PR	PRD	SHDI	SHEI	AI
14000.28	1519	10.85	823539.82	58.82	18.39	5.12	1.44	1.06	1491.94	1.3	7772.34	1519	10.85	5.12	5.12	100	56.11	71.53	0.99	19	0.14	2.12	0.72	91.32
4146.28	191	4.61	88054.02	21.24	4.41	3.99	1.51	1.07	1371.03	1.31	762.45	191	4.61	3.99	3.99	100	51.3	77.04	1	13	0.31	2.01	0.78	90.01
10792.4	81696	756.98	0	0	1.01	0.05	1.01	1	1901.72	2	3969.84	81696	756.98	0.05	0.05	100	100	0	1	14	0.13	2.1	0.8	0
1339.43	7046	526.04	0	0	1.01	0.07	1.02	1	1995.58	2	469.19	7046	526.04	0.07	0.07	100	100	0	0.99	8	0.6	1.05	0.5	0
8058.04	45135	560.12	0	0	1	0.03	1	1	2514.34	1	1142.32	45135	560.12	0.03	0.03	100	100	0	1	13	0.16	2.14	0.83	0
14257.95	98194	688.7	1237574.03	86.8	26.92	0.04	1	1	1971.53	1.45	4240.42	98194	688.7	0.04	0.04	100	21.24	75.69	1	17	0.12	2.29	0.81	2.74
1004.52	5587	556.18	34488.36	34.33	3.72	0.04	1.01	1	2080.02	1.57	222.82	5587	556.18	0.04	0.04	100	51.53	44.4	1	13	1.29	1.56	0.61	3.95
7749.73	69401	895.53	0	0	1	0.03	1.01	1	2400.29	2	2036.87	69401	895.53	0.03	0.03	100	100	0	1	16	0.21	2.17	0.78	0
29302.76	108482	370.21	1763632.7	60.19	26.8	0.09	1	1	1388.75	1.55	9406.87	108482	370.21	0.09	0.09	100	22.72	73.83	1	15	0.05	2.13	0.79	2.33
12331.85	43080	349.34	0	0	1.04	0.08	1	1	1508.79	2	3284.77	43080	349.34	0.08	0.08	100	100	0	1	15	0.12	1.98	0.73	0
3987.91	38983	977.53	301879.75	75.7	12.95	0.03	1	1	2380.56	1.5	1130.28	38983	977.53	0.03	0.03	100	20.7	76.67	1	16	0.4	2.41	0.87	1.48
9428.31	38846	412.01	0	0	1.01	0.05	1	1	1898.52	2	1760.98	38846	412.01	0.05	0.05	100	100	0	1	14	0.15	2.21	0.84	0
433.99	4407	1015.46	20280.25	46.73	3.43	0.03	1	1	2594.86	1.51	110.26	4407	1015.46	0.03	0.03	100	30.89	65.92	1	10	2.3	1.76	0.77	2.83
3501.89	16942	483.8	108886.82	31.09	5.6	0.05	1.01	1	2023.82	1.63	782.92	16942	483.8	0.05	0.05	100	45.57	56.09	1	13	0.37	1.58	0.61	8.04
1547.4	13225	854.66	0	0	1	0.04	1.01	1	2180.39	2	499.81	13225	854.66	0.04	0.04	100	100	0	1	12	0.78	2.07	0.83	0
2042.63	15665	766.9	83389.28	40.82	5.6	0.03	1	1	2362.62	1.54	473.15	15665	766.9	0.03	0.03	100	43.07	53.91	1	14	0.69	1.51	0.57	2.78
1525.63	8551	560.49	0	0	1	0.04	1	1	2099.8	1	310.3	8551	560.49	0.04	0.04	100	100	0	1	8	0.52	1.17	0.56	0
2113	4883	231.09	0	0	1.03	0.06	1	1	1701.2	1	269.96	4883	231.09	0.06	0.06	100	100	0	1	6	0.28	0.5	0.28	0
3438.57	12592	366.2	141849.38	41.25	7.09	0.07	1	1	1506.28	1.53	898.18	12592	366.2	0.07	0.07	100	50.84	39.35	1	12	0.35	1.82	0.73	0.62
